Ec value(ms/cm), pH Value,TDS Value(ppm),Label
1.72,7.54,129,1
1.72,7.53,129,1
1.72,7.54,129,1
1.5,7.55,129,1
1.72,7.52,129,1
1.72,7.52,129,1
1.5,7.53,129,1
1.72,7.53,129,1
1.72,7.55,129,1
1.93,7.58,129,1
1.93,7.63,129,1
1.72,7.55,129,1
1.72,7.61,129,1
1.72,7.55,129,1
1.93,7.63,129,1
0,7.62,129,1
0,7.28,129,1
0,7.28,129,1
0,7.28,129,1
0,7.28,129,1
0,7.28,129,1
0,7.28,129,1
0,7.29,127,1
0,7.28,120,1
0,7.28,68,1
0,7.28,17,1
0,7.28,15,1
0,7.28,15,1
0,7.28,15,1
0,7.28,15,1
0,7.28,12,1
1.72,7.29,12,1
0,7.3,12,1
1.93,7.84,12,1
1.72,7.73,12,1
1.72,7.75,12,1
1.72,7.72,12,1
1.72,7.69,12,1
1.93,7.72,12,1
1.72,7.7,12,1
1.72,7.68,12,1
1.72,7.68,12,1
1.72,7.65,12,1
1.93,7.68,12,1
1.72,7.66,12,1
1.72,7.65,15,1
1.93,7.66,15,1
1.72,7.64,15,1
1.72,7.65,68,1
1.93,7.63,118,1
1.5,7.65,118,1
1.72,7.65,118,1
1.72,7.64,118,1
1.72,7.63,118,1
1.72,7.63,122,1
1.72,7.68,125,1
1.72,7.69,125,1
1.72,7.65,125,1
1.5,7.67,125,1
1.93,7.66,125,1
1.72,7.64,125,1
1.72,7.62,125,1
1.93,7.64,125,1
1.72,7.63,125,1
1.72,7.6,124,1
1.93,7.62,118,1
1.72,7.62,118,1
1.93,7.6,118,1
1.72,7.61,118,1
1.72,7.6,118,1
1.93,7.6,118,1
1.93,7.58,118,1
1.72,7.59,118,1
1.72,7.6,118,1
1.93,7.64,118,1
1.72,7.28,118,1
1.72,7.7,118,1
1.72,7.69,118,1
1.93,7.69,118,1
1.72,7.68,118,1
1.72,7.67,118,1
1.72,7.67,118,1
1.93,7.66,118,1
1.72,7.63,118,1
1.93,7.62,118,1
1.72,7.62,118,1
1.93,7.62,118,1
1.72,7.62,118,1
1.93,7.61,118,1
1.72,7.61,118,1
1.72,7.61,118,1
1.72,7.59,118,1
1.72,7.61,120,1
1.93,7.58,120,1
1.72,7.61,120,1
1.72,7.59,120,1
1.93,7.6,120,1
1.72,7.6,120,1
1.72,7.59,120,1
1.72,7.59,120,1
1.72,7.58,120,1
1.72,7.57,120,1
1.72,7.58,120,1
1.72,7.61,120,1
1.72,7.57,120,1
1.72,7.57,120,1
1.72,7.59,120,1
1.72,7.57,120,1
1.72,7.58,120,1
1.72,7.56,120,1
1.5,7.59,120,1
1.72,7.57,120,1
1.93,7.57,120,1
1.72,7.57,120,1
0.64,7.63,120,1
0,7.29,120,1
0,7.3,120,1
2.36,7.29,120,1
1.93,7.76,120,1
1.93,7.74,120,1
1.72,7.72,120,1
1.5,7.76,120,1
1.72,7.72,120,1
1.93,7.7,120,1
1.93,7.7,120,1
1.72,7.69,120,1
1.72,7.69,120,1
1.93,7.64,120,1
1.93,7.68,120,1
2.15,7.69,120,1
1.93,7.68,120,1
1.93,7.62,120,1
1.93,7.63,120,1
1.93,7.62,120,1
1.93,7.65,120,1
1.93,7.65,120,1
1.93,7.63,120,1
1.5,7.64,120,1
1.72,7.64,120,1
1.93,7.64,120,1
1.72,7.65,120,1
1.72,7.64,122,1
1.93,7.62,124,1
1.72,7.6,125,1
1.72,7.64,125,1
1.72,7.64,125,1
1.5,7.64,125,1
1.72,7.64,125,1
1.72,7.64,125,1
1.72,7.61,125,1
1.72,7.59,125,1
1.72,7.6,125,1
1.72,7.61,125,1
1.72,7.61,125,1
1.93,7.58,125,1
1.72,7.61,125,1
1.72,7.59,125,1
1.93,7.62,125,1
1.93,7.58,125,1
1.93,7.59,125,1
1.72,7.6,125,1
1.72,7.6,125,1
1.72,7.58,125,1
1.72,7.6,125,1
1.93,7.6,125,1
1.72,7.58,125,1
1.72,7.55,125,1
1.72,7.58,125,1
1.93,7.59,125,1
1.93,7.6,125,1
1.72,7.6,125,1
1.72,7.59,125,1
1.5,7.64,125,1
1.72,7.62,125,1
1.72,7.6,125,1
1.72,7.67,125,1
1.72,7.68,125,1
1.72,7.67,125,1
1.72,7.65,125,1
1.93,7.68,125,1
1.93,7.7,125,1
1.72,7.73,125,1
1.72,7.72,125,1
1.93,7.74,125,1
2.15,7.71,125,1
2.15,7.69,124,1
2.36,7.68,124,1
1.72,7.71,124,1
1.93,7.68,124,1
1.93,7.74,124,1
1.72,7.69,122,1
1.93,7.66,120,1
1.93,7.74,120,1
1.93,7.67,120,1
2.15,7.71,118,1
1.93,7.63,116,1
1.93,7.65,116,1
1.93,7.63,114,1
2.15,7.65,91,1
2.15,7.68,66,1
1.93,7.61,62,1
1.93,7.64,60,1
1.93,7.59,52,1
1.72,7.66,43,1
1.93,7.63,43,1
1.93,7.67,43,1
1.72,7.68,43,1
1.72,7.28,43,1
1.72,7.7,43,1
1.93,7.69,43,1
1.93,7.71,43,1
1.5,7.7,43,1
1.72,7.7,43,1
1.5,7.72,43,1
1.93,7.72,43,1
1.72,7.74,43,1
1.72,7.72,43,1
1.72,7.73,54,1
1.93,7.68,54,1
1.72,7.71,91,1
1.93,7.7,118,1
1.72,7.73,122,1
1.72,7.71,124,1
1.72,7.71,125,1
1.93,7.69,125,1
1.72,7.69,125,1
1.72,7.67,125,1
1.72,7.7,125,1
1.93,7.7,125,1
1.72,7.66,125,1
1.72,7.66,125,1
1.72,7.65,125,1
1.72,7.65,125,1
1.72,7.68,125,1
1.93,7.62,125,1
1.72,7.63,125,1
1.93,7.62,125,1
1.72,7.64,125,1
1.72,7.62,125,1
1.72,7.62,124,1
1.72,7.65,124,1
1.72,7.66,124,1
1.72,7.62,122,1
1.72,7.64,122,1
1.93,7.62,122,1
1.72,7.6,122,1
1.93,7.28,122,1
1.93,7.28,122,1
1.93,7.27,122,1
1.72,7.28,122,1
1.72,7.29,122,1
1.72,7.29,122,1
1.72,7.29,122,1
1.72,7.29,122,1
1.93,7.3,122,1
1.93,7.3,122,1
1.93,7.76,122,1
1.93,7.77,122,1
1.93,7.68,122,1
2.15,7.7,120,1
1.93,7.71,120,1
1.93,7.66,120,1
1.72,7.68,120,1
1.93,7.66,120,1
1.72,7.66,122,1
1.93,7.64,122,1
1.93,7.69,122,1
1.93,7.63,122,1
1.93,7.61,122,1
1.72,7.62,122,1
1.93,7.68,122,1
2.15,7.71,122,1
1.93,7.69,122,1
1.72,7.67,98,1
1.93,7.7,98,1
1.72,7.68,98,1
1.5,7.66,98,1
1.72,7.67,98,1
1.93,7.64,98,1
1.72,7.63,98,1
1.72,7.64,96,1
1.93,7.65,96,1
1.93,7.62,96,1
1.72,7.62,96,1
1.5,7.62,96,1
1.72,7.62,96,1
1.72,7.59,96,1
1.72,7.6,124,1
1.72,7.6,131,1
1.72,7.61,131,1
1.72,7.61,131,1
1.72,7.59,131,1
1.72,7.6,131,1
1.72,7.59,131,1
1.72,7.6,131,1
1.72,7.59,131,1
1.72,7.59,131,1
1.72,7.6,131,1
1.5,7.59,131,1
1.5,7.58,131,1
1.72,7.6,131,1
1.72,7.56,131,1
1.5,7.6,131,1
1.72,7.58,131,1
1.72,7.58,131,1
1.72,7.57,131,1
1.72,7.58,131,1
1.72,7.57,131,1
1.5,7.57,131,1
1.72,7.55,131,1
1.5,7.57,131,1
1.5,7.55,131,1
1.72,7.59,131,1
1.72,7.54,131,1
1.72,7.57,131,1
1.72,7.56,131,1
1.72,7.58,131,1
1.72,7.55,131,1
1.5,7.57,131,1
1.72,7.55,131,1
1.72,7.58,131,1
1.72,7.58,131,1
1.72,7.55,131,1
1.72,7.59,131,1
1.72,7.57,131,1
1.72,7.54,131,1
1.93,7.57,131,1
1.5,7.57,131,1
1.72,7.56,131,1
1.72,7.55,131,1
1.72,7.56,131,1
1.72,7.56,131,1
1.72,7.55,131,1
1.72,7.57,131,1
1.72,7.56,131,1
1.72,7.55,131,1
1.72,7.53,131,1
1.72,7.57,131,1
1.72,7.53,131,1
1.72,7.57,131,1
1.5,7.54,131,1
1.72,7.57,131,1
1.5,7.56,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.72,7.54,131,1
1.72,7.57,131,1
1.72,7.58,131,1
1.72,7.54,131,1
1.72,7.55,131,1
1.72,7.57,131,1
1.72,7.55,131,1
1.5,7.57,131,1
1.72,7.54,131,1
1.5,7.55,131,1
1.5,7.54,131,1
1.5,7.54,131,1
1.5,7.55,131,1
1.72,7.54,131,1
1.72,7.56,131,1
1.72,7.54,131,1
1.5,7.51,131,1
1.5,7.57,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.72,7.57,131,1
1.72,7.53,131,1
1.72,7.51,131,1
1.5,7.57,131,1
1.72,7.51,131,1
1.5,7.56,131,1
1.5,7.54,131,1
1.72,7.51,131,1
1.5,7.55,131,1
1.5,7.53,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.72,7.56,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.55,131,1
1.5,7.53,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.72,7.54,131,1
1.5,7.52,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.5,7.53,131,1
1.5,7.51,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.55,131,1
1.5,7.52,131,1
1.5,7.54,131,1
1.93,7.53,131,1
1.5,7.53,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.5,7.51,131,1
1.5,7.55,131,1
1.5,7.52,131,1
1.5,7.54,131,1
1.5,7.54,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.5,7.51,131,1
1.72,7.52,131,1
1.93,7.54,131,1
1.5,7.51,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.5,7.51,131,1
1.72,7.53,131,1
1.93,7.54,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.93,7.51,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.55,131,1
1.72,7.51,131,1
1.5,7.54,131,1
1.72,7.5,131,1
1.5,7.54,131,1
1.72,7.52,131,1
1.5,7.54,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.5,7.54,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.51,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.5,7.51,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.93,7.55,131,1
1.72,7.53,131,1
1.5,7.51,131,1
1.72,7.52,131,1
1.93,7.54,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.72,7.54,131,1
1.5,7.54,131,1
1.72,7.54,131,1
1.5,7.51,131,1
1.72,7.51,131,1
1.72,7.55,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.55,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.54,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.5,7.5,131,1
1.5,7.55,131,1
1.5,7.55,131,1
1.72,7.52,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.52,131,1
1.72,7.51,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.52,131,1
1.72,7.55,131,1
1.72,7.54,131,1
1.5,7.52,131,1
1.72,7.51,131,1
1.5,7.52,131,1
1.72,7.53,131,1
1.5,7.55,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.5,7.54,131,1
1.72,7.54,131,1
1.72,7.5,131,1
1.72,7.51,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.5,7.52,131,1
1.5,7.53,131,1
1.72,7.55,131,1
1.72,7.51,131,1
1.5,7.51,131,1
1.72,7.53,131,1
1.93,7.54,131,1
1.5,7.56,131,1
1.93,7.51,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.72,7.51,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.72,7.54,131,1
1.72,7.51,131,1
1.5,7.52,131,1
1.5,7.54,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.5,7.54,131,1
1.5,7.52,131,1
1.5,7.53,131,1
1.72,7.56,131,1
1.72,7.55,131,1
1.5,7.52,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.5,7.54,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.5,7.52,131,1
1.5,7.53,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.72,7.55,131,1
1.93,7.56,131,1
1.72,7.56,131,1
1.72,7.53,131,1
1.72,7.53,131,1
1.5,7.54,131,1
1.5,7.56,131,1
1.5,7.54,131,1
1.5,7.53,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.72,7.54,131,1
1.5,7.54,131,1
1.72,7.55,131,1
1.5,7.51,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.51,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.5,7.55,131,1
1.72,7.55,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.5,7.51,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.5,7.51,131,1
1.72,7.52,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.5,7.54,131,1
1.5,7.52,131,1
1.72,7.54,131,1
1.5,7.54,131,1
1.5,7.52,131,1
1.72,7.55,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.5,7.52,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.5,7.51,131,1
1.5,7.5,131,1
1.72,7.51,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.56,131,1
1.72,7.55,131,1
1.72,7.53,131,1
1.72,7.51,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.72,7.52,131,1
1.72,7.55,131,1
1.72,7.55,131,1
1.5,7.53,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.5,7.54,131,1
1.72,7.51,131,1
1.72,7.51,131,1
1.72,7.51,131,1
1.72,7.54,131,1
1.5,7.55,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.5,7.52,131,1
1.72,7.56,131,1
1.72,7.54,131,1
1.5,7.51,131,1
1.5,7.55,131,1
1.5,7.53,131,1
1.5,7.51,131,1
1.5,7.52,131,1
1.5,7.54,131,1
1.72,7.52,131,1
1.72,7.55,131,1
1.5,7.53,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.72,7.55,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.5,7.54,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.72,7.53,131,1
1.72,7.51,131,1
1.72,7.54,131,1
1.72,7.54,131,1
1.72,7.55,131,1
1.5,7.53,131,1
1.72,7.54,131,1
1.5,7.53,131,1
1.72,7.53,131,1
1.5,7.54,131,1
1.5,7.54,131,1
1.5,7.53,131,1
1.72,7.55,131,1
1.5,7.54,131,1
1.5,7.51,131,1
1.5,7.5,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.72,7.52,131,1
1.72,7.52,131,1
1.5,7.54,131,1
1.72,7.53,131,1
1.5,7.54,131,1
1.5,7.53,131,1
1.72,7.51,131,1
1.72,7.54,131,1
1.5,7.54,131,1
1.72,7.53,131,1
1.5,7.53,131,1
1.5,7.53,131,1
1.5,7.53,131,1
1.5,7.54,131,1
1.72,7.52,131,1
1.5,7.51,131,1
1.5,7.53,131,1
1.5,7.53,131,1
1.5,7.52,131,1
1.5,7.53,131,1
1.5,7.53,131,1
1.72,7.54,131,1
1.72,7.53,131,1
1.72,7.55,131,1
1.93,7.53,131,1
1.72,7.54,131,1
1.5,7.52,131,1
1.72,7.52,131,1
1.72,7.5,131,1
1.5,7.51,131,1
1.5,7.55,131,1
1.72,7.51,131,1
1.72,7.56,131,1
1.5,7.52,131,1
1.93,7.51,131,1
1.72,7.51,131,1
1.5,7.54,131,1
1.72,7.53,131,1
1.72,7.52,131,1
1.72,7.53,131,1
1.93,7.51,131,1
1.72,7.55,131,1
1.72,7.53,131,1
1.5,7.54,131,1
1.5,7.51,131,1
1.5,7.52,131,1
1.5,7.52,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.72,7.52,131,1
1.5,7.54,131,1
1.72,7.51,131,1
1.72,7.5,131,1
1.5,7.55,131,1
1.72,7.51,131,1
1.72,7.55,131,1
1.72,7.53,131,1
1.72,7.56,131,1
1.72,7.54,131,1
1.72,7.5,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.72,7.51,131,1
1.72,7.55,131,1
1.72,7.51,131,1
1.5,7.53,131,1
1.72,7.55,131,1
1.72,7.52,131,1
1.72,7.51,131,1
1.72,7.52,131,1
1.72,7.54,131,1
1.5,7.51,131,1
1.72,7.54,131,1
1.5,7.52,131,1
1.5,7.52,131,1
1.72,7.51,131,1
1.93,7.53,131,1
1.72,7.53,131,1
1.72,7.54,131,1
1.72,7.51,131,1
1.72,7.51,131,1
1.72,7.53,131,1
1.72,7.51,131,1
0,7.5,131,1
0,7.28,131,1
0,7.27,131,1
0,7.28,131,1
0,7.29,131,1
0,7.29,131,1
0,7.3,131,1
0,7.3,131,1
0,7.29,131,1
0,7.3,131,1
0,7.3,131,1
0,7.29,129,1
0,7.29,129,1
0,7.29,129,1
0,7.3,129,1
0,7.3,83,1
0,7.3,37,1
0,7.3,37,1
0,7.29,37,1
0,7.3,37,1
0,7.3,37,1
0,7.3,37,1
1.72,7.76,37,1
1.72,7.8,37,1
1.93,7.8,37,1
1.72,7.76,37,1
1.72,7.74,37,1
1.93,7.73,37,1
1.72,7.72,37,1
1.72,7.7,37,1
1.72,7.68,37,1
1.93,7.67,37,1
1.72,7.69,37,1
1.72,7.67,37,1
1.72,7.67,39,1
1.72,7.66,39,1
1.72,7.65,39,1
1.72,7.66,74,1
1.72,7.63,111,1
1.93,7.63,114,1
1.93,7.64,114,1
1.93,7.62,114,1
1.72,7.63,114,1
1.93,7.6,114,1
1.72,7.63,114,1
1.5,7.61,114,1
0.21,7.67,114,1
0,7.28,114,1
1.72,7.76,114,1
1.72,7.28,114,1
1.72,7.78,114,1
1.93,7.76,114,1
1.72,7.74,114,1
1.72,7.75,114,1
1.72,7.74,114,1
1.72,7.7,114,1
1.72,7.71,114,1
1.72,7.71,114,1
1.72,7.67,114,1
1.72,7.68,114,1
1.72,7.7,114,1
1.93,7.67,114,1
1.72,7.68,116,1
1.72,7.67,118,1
1.72,7.64,120,1
1.72,7.66,120,1
1.72,7.64,122,1
1.93,7.64,122,1
1.93,7.65,122,1
1.72,7.65,122,1
1.72,7.62,122,1
1.93,7.63,122,1
1.93,7.64,122,1
1.72,7.61,122,1
1.5,7.62,122,1
1.5,7.62,122,1
1.93,7.61,122,1
0,7.69,122,1
0,7.28,122,1
0,7.27,122,1
0,7.28,122,1
0,7.28,122,1
0,7.28,122,1
0,7.28,122,1
0,7.28,122,1
0,7.29,122,1
0,7.29,122,1
0,7.29,122,1
0,7.29,120,1
0,7.28,120,1
0,7.29,120,1
0,7.28,74,1
0,7.28,25,1
2.15,7.29,25,1
1.72,7.78,25,1
1.72,7.76,25,1
1.93,7.74,25,1
1.72,7.75,25,1
1.72,7.78,25,1
1.72,7.77,25,1
1.72,7.76,25,1
1.72,7.75,25,1
1.72,7.73,25,1
1.72,7.72,25,1
1.72,7.72,25,1
1.72,7.72,25,1
1.72,7.7,25,1
1.72,7.7,25,1
1.5,7.66,66,1
1.93,7.68,107,1
1.72,7.68,111,1
1.72,7.67,111,1
1.72,7.68,111,1
1.72,7.68,111,1
1.72,7.65,111,1
1.72,7.67,111,1
1.72,7.64,111,1
1.72,7.65,111,1
1.72,7.65,111,1
1.72,7.65,111,1
1.72,7.61,111,1
1.72,7.65,111,1
1.5,7.63,111,1
1.72,7.65,111,1
1.5,7.62,111,1
1.72,7.64,109,1
1.5,7.61,107,1
1.72,7.62,104,1
1.5,7.62,102,1
1.72,7.61,102,1
1.5,7.62,102,1
1.5,7.63,102,1
1.72,7.61,102,1
1.72,7.62,102,1
1.5,7.61,102,1
1.72,7.61,102,1
1.72,7.61,102,1
1.72,7.6,102,1
1.5,7.61,102,1
1.5,7.6,102,1
1.5,7.59,102,1
1.72,7.59,102,1
1.5,7.58,102,1
1.5,7.6,100,1
1.72,7.59,102,1
1.5,7.57,102,1
1.5,7.59,102,1
1.72,7.57,102,1
1.72,7.59,102,1
1.72,7.58,102,1
1.72,7.6,102,1
1.5,7.57,102,1
1.5,7.61,102,1
1.5,7.59,102,1
1.72,7.59,102,1
1.72,7.57,102,1
1.5,7.59,102,1
1.72,7.6,102,1
1.72,7.58,102,1
1.5,7.59,102,1
1.5,7.59,102,1
1.5,7.55,102,1
1.72,7.59,102,1
1.72,7.59,102,1
1.72,7.57,102,1
1.5,7.59,102,1
1.72,7.57,102,1
1.72,7.59,102,1
1.72,7.55,102,1
1.72,7.6,102,1
1.72,7.57,102,1
1.72,7.56,102,1
1.5,7.59,102,1
1.5,7.57,102,1
1.5,7.57,102,1
1.72,7.59,102,1
1.5,7.55,102,1
1.5,7.58,102,1
1.72,7.56,102,1
1.5,7.56,102,1
1.5,7.56,102,1
1.5,7.54,102,1
1.72,7.57,102,1
1.5,7.57,102,1
1.5,7.55,102,1
1.72,7.57,102,1
1.72,7.56,102,1
1.5,7.57,102,1
1.5,7.54,102,1
1.72,7.56,102,1
1.5,7.58,102,1
1.72,7.55,102,1
1.5,7.54,102,1
1.72,7.57,102,1
1.72,7.55,102,1
1.72,7.54,102,1
1.72,7.57,102,1
1.72,7.55,102,1
1.5,7.56,102,1
1.72,7.54,102,1
1.72,7.56,102,1
1.5,7.56,102,1
1.72,7.57,102,1
1.72,7.56,102,1
1.72,7.56,102,1
1.5,7.56,102,1
1.72,7.55,102,1
1.5,7.56,102,1
1.5,7.54,102,1
1.5,7.56,102,1
1.5,7.54,102,1
1.5,7.53,102,1
1.5,7.57,102,1
1.5,7.55,102,1
1.72,7.57,102,1
1.5,7.56,102,1
1.72,7.56,102,1
1.5,7.55,102,1
1.5,7.54,102,1
1.72,7.57,102,1
1.72,7.53,102,1
1.72,7.56,102,1
1.72,7.55,102,1
1.5,7.53,102,1
1.72,7.56,102,1
1.93,7.57,102,1
1.5,7.53,102,1
1.5,7.57,102,1
1.72,7.55,102,1
1.72,7.53,102,1
1.5,7.55,102,1
1.72,7.55,102,1
1.72,7.56,102,1
1.5,7.53,102,1
1.72,7.54,102,1
1.72,7.55,102,1
1.72,7.55,102,1
1.5,7.55,102,1
1.72,7.54,102,1
1.5,7.55,102,1
1.72,7.53,102,1
1.5,7.53,102,1
1.5,7.56,102,1
1.5,7.54,102,1
1.5,7.53,102,1
1.72,7.57,102,1
1.5,7.54,102,1
1.72,7.53,102,1
1.72,7.54,102,1
1.72,7.55,102,1
1.5,7.53,102,1
1.5,7.55,102,1
1.5,7.52,102,1
1.72,7.52,102,1
1.5,7.55,102,1
1.72,7.55,102,1
1.72,7.54,102,1
1.5,7.54,102,1
1.5,7.55,102,1
1.72,7.53,102,1
1.5,7.56,102,1
1.5,7.53,102,1
1.5,7.53,102,1
1.5,7.56,102,1
1.5,7.54,102,1
1.72,7.53,102,1
1.72,7.55,102,1
1.72,7.55,102,1
1.5,7.52,102,1
1.72,7.55,102,1
1.72,7.53,102,1
1.72,7.53,102,1
1.72,7.54,102,1
1.5,7.55,102,1
1.72,7.54,102,1
1.5,7.54,102,1
1.72,7.53,102,1
1.5,7.54,102,1
1.72,7.54,102,1
1.5,7.53,102,1
1.5,7.53,102,1
1.5,7.57,102,1
1.72,7.53,102,1
1.72,7.53,102,1
1.5,7.57,102,1
1.5,7.55,102,1
1.5,7.53,102,1
1.5,7.52,102,1
1.5,7.55,102,1
1.5,7.55,102,1
1.5,7.52,102,1
1.5,7.55,102,1
1.5,7.53,102,1
1.5,7.54,102,1
1.5,7.54,102,1
1.5,7.55,102,1
1.72,7.55,102,1
1.5,7.53,102,1
1.5,7.55,102,1
1.5,7.54,102,1
1.72,7.56,102,1
1.72,7.52,102,1
1.29,7.53,102,1
1.5,7.55,102,1
1.5,7.57,102,1
1.5,7.54,102,1
1.5,7.51,102,1
1.5,7.54,102,1
1.5,7.55,102,1
1.72,7.53,102,1
1.5,7.54,102,1
1.5,7.51,102,1
1.5,7.53,102,1
1.72,7.55,102,1
1.72,7.52,102,1
1.72,7.52,102,1
1.72,7.53,102,1
1.5,7.54,102,1
1.72,7.51,102,1
1.5,7.51,102,1
1.5,7.55,102,1
1.5,7.53,102,1
1.5,7.53,102,1
1.5,7.51,102,1
1.5,7.54,102,1
1.72,7.55,102,1
1.72,7.52,102,1
1.72,7.54,102,1
1.5,7.51,102,1
1.5,7.51,102,1
1.72,7.53,102,1
1.72,7.53,102,1
1.5,7.5,102,1
1.5,7.52,102,1
1.72,7.51,102,1
1.5,7.52,102,1
1.72,7.53,102,1
1.5,7.53,102,1
1.5,7.52,102,1
1.5,7.53,102,1
1.72,7.5,102,1
1.5,7.51,102,1
1.72,7.52,102,1
1.5,7.54,102,1
1.5,7.54,102,1
1.5,7.51,102,1
1.29,7.51,102,1
1.5,7.52,102,1
1.5,7.53,102,1
1.5,7.54,102,1
1.5,7.53,102,1
1.5,7.51,102,1
1.72,7.54,102,1
1.72,7.53,102,1
1.72,7.5,102,1
1.5,7.53,102,1
1.72,7.53,102,1
1.72,7.52,102,1
1.72,7.52,102,1
1.5,7.55,102,1
1.72,7.51,102,1
1.72,7.51,102,1
1.5,7.53,102,1
1.5,7.52,102,1
1.5,7.49,102,1
1.72,7.53,102,1
1.29,7.52,102,1
1.5,7.5,102,1
1.72,7.52,102,1
1.5,7.51,102,1
1.72,7.51,102,1
1.5,7.5,102,1
1.72,7.54,102,1
1.5,7.52,102,1
1.5,7.51,102,1
1.5,7.5,102,1
1.29,7.53,102,1
1.5,7.49,102,1
1.5,7.52,102,1
1.5,7.53,102,1
1.72,7.5,102,1
1.72,7.53,102,1
1.72,7.52,102,1
1.5,7.55,102,1
1.5,7.51,102,1
1.5,7.53,102,1
1.5,7.51,102,1
1.5,7.51,102,1
1.5,7.5,102,1
1.72,7.53,102,1
1.5,7.51,102,1
1.72,7.51,102,1
1.5,7.51,102,1
1.72,7.51,102,1
1.5,7.53,102,1
1.5,7.53,102,1
1.5,7.53,102,1
1.5,7.51,102,1
1.72,7.51,102,1
1.72,7.5,102,1
1.72,7.5,102,1
1.5,7.53,102,1
1.72,7.5,102,1
1.5,7.51,102,1
